source_id,title,classification,geography,retrieval_date,legacy_run_id,original_path,archive_path,sha256,limitations
LEG-SRC-0001,Company Memory,COUNCIL_INFERENCE,UAE/GCC/global,2026-06-18,,handoffs/company-memory.md,legacy-council-import/source-archive/handoffs/company-memory.md,9861dcda7ca865c53e38f8d22a89d5bd4f68fe2c8de185e257a164fa5b675e0a,Legacy council artifact; preserve evidence labels and verify time-sensitive third-party costs before external use.
LEG-SRC-0002,2026 06 13 Commercial Council 001 Evidence Pack,INTERNAL_PROJECT_FACT,UAE/GCC/global,2026-06-18,2026-06-13-commercial-council-001,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,legacy-council-import/source-archive/working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,12314d3599aedc23124aa5633d6f04bbee51fa7bea764632585110e390cd0036,Legacy council artifact; preserve evidence labels and verify time-sensitive third-party costs before external use.
LEG-SRC-0003,Activity Log,COUNCIL_INFERENCE,UAE/GCC/global,2026-06-18,2026-06-13-commercial-council-001,working/council-runs/2026-06-13-commercial-council-001/ACTIVITY_LOG.md,legacy-council-import/source-archive/working/council-runs/2026-06-13-commercial-council-001/ACTIVITY_LOG.md,3554a5b9a49671d51bc862dc6dcba242adc91d9a892994920f17a4fc325d48e9,Legacy council artifact; preserve evidence labels and verify time-sensitive third-party costs before external use.
LEG-SRC-0004,Business Builder Memo,COUNCIL_INFERENCE,UAE/GCC/global,2026-06-18,2026-06-13-commercial-council-001,working/council-runs/2026-06-13-commercial-council-001/artifacts/advisor-memos/BUSINESS_BUILDER_MEMO.md,legacy-council-import/source-archive/working/council-runs/2026-06-13-commercial-council-001/artifacts/advisor-memos/BUSINESS_BUILDER_MEMO.md,b7e9d4043230d432e5c3f3872cbf0aefda54d3fcd118587621cd18a642500809,Legacy council artifact; preserve evidence labels and verify time-sensitive third-party costs before external use.
LEG-SRC-0005,Competitor Alternatives Memo,COUNCIL_INFERENCE,UAE/GCC/global,2026-06-18,2026-06-13-commercial-council-001,working/council-runs/2026-06-13-commercial-council-001/artifacts/advisor-memos/COMPETITOR_ALTERNATIVES_MEMO.md,legacy-council-import/source-archive/working/council-runs/2026-06-13-commercial-council-001/artifacts/advisor-memos/COMPETITOR_ALTERNATIVES_MEMO.md,41b1e4f44695f9b9089e2747c5add331b4c640c114d70c0b685963bc6693ad4c,Legacy council artifact; preserve evidence labels and verify time-sensitive third-party costs before external use.
LEG-SRC-0006,Market Economics Memo,COUNCIL_INFERENCE,UAE/GCC/global,2026-06-18,2026-06-13-commercial-council-001,working/council-runs/2026-06-13-commercial-council-001/artifacts/advisor-memos/MARKET_ECONOMICS_MEMO.md,legacy-council-import/source-archive/working/council-runs/2026-06-13-commercial-council-001/artifacts/advisor-memos/MARKET_ECONOMICS_MEMO.md,f5f7f4ed2a7e0e76f933db51d90b47a92474b3d3466b8504d7bd5c7225169739,Legacy council artifact; preserve evidence labels and verify time-sensitive third-party costs before external use.
LEG-SRC-0007,Restaurant Operator Memo,COUNCIL_INFERENCE,UAE/GCC/global,2026-06-18,2026-06-13-commercial-council-001,working/council-runs/2026-06-13-commercial-council-001/artifacts/advisor-memos/RESTAURANT_OPERATOR_MEMO.md,legacy-council-import/source-archive/working/council-runs/2026-06-13-commercial-council-001/artifacts/advisor-memos/RESTAURANT_OPERATOR_MEMO.md,ba1bbba234e72f65392ae4c042b55ae70b9cea92d452232d0e575a2ab74bd125,Legacy council artifact; preserve evidence labels and verify time-sensitive third-party costs before external use.
LEG-SRC-0008,Restaurant Owner Memo,COUNCIL_INFERENCE,UAE/GCC/global,2026-06-18,2026-06-13-commercial-council-001,working/council-runs/2026-06-13-commercial-council-001/artifacts/advisor-memos/RESTAURANT_OWNER_MEMO.md,legacy-council-import/source-archive/working/council-runs/2026-06-13-commercial-council-001/artifacts/advisor-memos/RESTAURANT_OWNER_MEMO.md,61fcdc40e86b826ad8dc4ea29b212eba4760d97aac0124195837ba3278aac17c,Legacy council artifact; preserve evidence labels and verify time-sensitive third-party costs before external use.
LEG-SRC-0009,Devils Advocate Memo,COUNCIL_INFERENCE,UAE/GCC/global,2026-06-18,2026-06-13-commercial-council-001,working/council-runs/2026-06-13-commercial-council-001/artifacts/DEVILS_ADVOCATE_MEMO.md,legacy-council-import/source-archive/working/council-runs/2026-06-13-commercial-council-001/artifacts/DEVILS_ADVOCATE_MEMO.md,ad35c7c0266e01f6cbfaf03db05614aee96cb0e629432d5f6b48015f15f47b52,Legacy council artifact; preserve evidence labels and verify time-sensitive third-party costs before external use.
LEG-SRC-0010,Evidence Auditor Memo,INTERNAL_PROJECT_FACT,UAE/GCC/global,2026-06-18,2026-06-13-commercial-council-001,working/council-runs/2026-06-13-commercial-council-001/artifacts/EVIDENCE_AUDITOR_MEMO.md,legacy-council-import/source-archive/working/council-runs/2026-06-13-commercial-council-001/artifacts/EVIDENCE_AUDITOR_MEMO.md,38fd3cf3bd59fcf204ddc66e46ab7f3e9784fc2941eb1694c61526735300f265,Legacy council artifact; preserve evidence labels and verify time-sensitive third-party costs before external use.
LEG-SRC-0011,Interim Commercial Verdict,COUNCIL_INFERENCE,UAE/GCC/global,2026-06-18,2026-06-13-commercial-council-001,working/council-runs/2026-06-13-commercial-council-001/artifacts/INTERIM_COMMERCIAL_VERDICT.md,legacy-council-import/source-archive/working/council-runs/2026-06-13-commercial-council-001/artifacts/INTERIM_COMMERCIAL_VERDICT.md,4b4f2a518fec2b5c1a07b479173ba1fb60807629064844134c1aa39d8027fd94,Legacy council artifact; preserve evidence labels and verify time-sensitive third-party costs before external use.
LEG-SRC-0012,Review 01,COUNCIL_INFERENCE,UAE/GCC/global,2026-06-18,2026-06-13-commercial-council-001,working/council-runs/2026-06-13-commercial-council-001/artifacts/peer-reviews/REVIEW_01.md,legacy-council-import/source-archive/working/council-runs/2026-06-13-commercial-council-001/artifacts/peer-reviews/REVIEW_01.md,1b94a8a81cd545c33e12b233029abf289856eb0b143779e4f0e989a89ffc8f27,Legacy council artifact; preserve evidence labels and verify time-sensitive third-party costs before external use.
